	Zadanie/etap	Nazwa kosztu	Wydatki ogółem	Wydatki kwalifikowalne	VAT	Dofinansowanie	Uzasadnienie kosztu	Metody szacowania																		
TRUE	1	Szafa na substancje chemiczne	12 177,00 zł	9 900,00 zł	0	7 920,00 zł	Umożliwia realizację etapu 1. Wynajem szafy na substancje chemiczne do laboratorium jest niezwykle ważny z punktu widzenia bezpieczeństwa pracowników, chronienia środowiska oraz zapobiegania uszkodzeniu mienia.	Zaplanowano zakup szafy na substancje chemiczne służącej wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających urządzenia laboratoryjne: Danlab - łączny koszt w kwocie 10 500 zł netto  Alchem - łączny koszt w kwocie 13 500 zł netto. Przyjęto średni koszt na poziomie 12 000 zł netto. Jako koszt kw. podano łączną kwotę planowaną do zakupu szafy na substancje chemiczne. Metodologia szacowania kosztu: 1 x 12 000=12000 zł netto	.																	
TRUE	1	Dygestorium	142 680,00 zł	116 000,00 zł	0	92 800,00 zł	Umożliwia realizację etapu 1. Dygestorium laboratoryjne jest niezbędne do przeprowadzania procesów trawiennych i rozpuszczania substancji chemicznych w sposób kontrolowany. Bezniego praca z niektórymi substancjami może być bardzo niebezpieczna i prowadzić do poważnych obrażeń ciała. Dygestorium zapewnia ochronę przed parą i gazami wydzielającymi się podczas procesów trawiennych. Konieczny jest zakup 2 szt.	Zaplanowano wynajem dygestorium służącego wyłącznie celom badawczym w ramach projektu. Jako koszt kw. podano sumę dygestoriów (2 szt). Koszty oszacowano w oparciu o oferty firm – posiadających maszyny do urządzenia laboratoryjne: Danlab - łączny koszt 133 000,00 zł netto za 2 szt. Alchem - łączny koszt 99 000 zł netto za 2 szt. Przyjęto śr. koszt na poziomie 116 000 zł netto za 2 szt. Jako koszt kwalifikowalny podano łączną Metodologia szacowania kosztu wynajmu: 2 szt. x 58 000 zł netto = 116 000 zł																		
TRUE	1	Stół laboratoryjny przyścienny	62 730,00 zł	51 000,00 zł	0	40 800,00 zł	Umożliwia realizację etapu 1. Stół laboratoryjny umożliwia wykonanie zadań zachowując zasady BHP oraz ergonomii pracy. Stoły będą wykorzystywane we wszystkich etapach badań podczas prac laboratoryjnych.	Zaplanowano wynajem stołu laboratoryjnego przyściennego służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne: Danlab - łączny koszt w kwocie 55 000,00 zł netto Alchem - łączny koszt w kwocie 47 000 zł netto. Przyjęto średni koszt na poziomie 51 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do wynajmu stołu laboratoryjnego przyś- ciennego.																		
TRUE	1	Potencjostat	268 140,00 zł	218 000,00 zł	0	174 400,00 zł	Umożliwia realizację etapu 1. Umożliwia precyzyjną kontrolę potencjału elektrody i prądu. W przypadku badań nad bateriami, potencjostat jest niezbędny do badania reakcji elektrod w różnych warunkach, co pozwala na optymalizację procesów elektrochemicznych i zwiększenie wydajności baterii. Potencjostat umożliwia badanie procesów korozji, degradacji i starzenia się elektrod w czasie.	Zaplanowano wynajem potencjostatu służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne: nLab sp. z o.o. - łączny koszt w kwocie 230 000 zł netto LAMBDA SYSTEM - Kreft Barszczewski Spółka Jawna - łączny koszt w kwocie 206 000 zł netto. Przyjęto średni koszt na poziomie 218 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do wynajmu potencjostatu.																		
TRUE	1	pH metr	12 177,00 zł	9 900,00 zł	0	7 920,00 zł	Umożliwia realizację etapu 1. Podczas badań nad elektrolitami niezbędna jest stała kontrola PH roztworów.	Zaplanowano zakup pH metru służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne. Jako koszt kwalifikowalny podano łączną kwotę planowaną do wynajmu pH metru. Wartość środka trwałego została oszacowana na podstawie ofert od dwóch firm: Danlab - łączny koszt w kwocie 9 000 zł netto Alchem - łączny koszt w kwocie 10 800 zł netto. Przyjęto średni koszt na poziomie 9900 złotych netto.																		
TRUE	1	Miernik tlenu	15 990,00 zł	13 000,00 zł	0	10 400,00 zł	Umożliwia realizację etapu 1. Umożliwia precyzyjny i dokładny pomiar stężenia tlenu w elektrolitach, co jest kluczowe dla procesów elektrochemicznych zachodzących w bateriach przepływowych. Precyzyjny pomiar stężenia tlenu pozwala na lepsze zrozumienie i optymalizację procesów elektrochemicznych, co z kolei może przyczynić się do poprawy wydajności baterii przepływowych	Zaplanowano wynajem miernika tlenu służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne. Jako koszt kw. podano łączną kwotę planowaną do wynajmu miernika tlenu. Wartość środka trwałego została oszacowana na podstawie ofert od dwóch firm: Danlab - łączny koszt w kwocie 11 500,00 zł netto Alchem - łączny koszt w kwocie 14 500 zł netto. Przyjęto średni koszt na poziomie 13 000 zł netto																		
TRUE	1	Czujnik pH	29 520,00 zł	24 000,00 zł	0	19 200,00 zł	Umożliwia realizację etapu 1. Podczas badań nad elektrolitami niezbędna jest stała kontrola PH roztworów.	Zaplanowano zakup czujnika pH służącego wyłącznie celom bad. w ramach projektu. Jako koszt kw. podano sumę za 4 szt czujników. Koszty oszacowano w oparciu o oferty firm posiadających urządzenia laboratoryjne. Jako koszt kw. podano łączną kwotę za wszystkie planowane do zakupu czujniki. Koszt jedn. czujnika pH to 6000 PLN. Wartość oszacowano na podstawie ofert od dwóch firm: Danlab-łączny koszt 25600 zł za 4 szt Alchem-łączny koszt 22400 zł za 4 szt Przyjęto śr. koszt 24000 zł netto za 4 szt																		
TRUE	1	Szkło specjalistyczne (cela elektrochemiczna) + wyposażenie	19 680,00 zł	16 000,00 zł	0	12 800,00 zł	Umożliwia realizację etapu 1. Umożliwia przeprowadzanie eksperymentów elektrochemicznych, a wyposażenie takie jak elektrody, cewki, kable i zaciski elektrody, umożliwia precyzyjne badania elektrod i elektrolitów.	Zaplanowano zakup szkła specjalistycznego wraz z wyposażeniem służącym wyłącznie celom bad. w ramach projektu. Koszty oszacowano w oparciu o oferty firm posiadających urządzenia laboratoryjne. Jako koszt kw. podano łączną kwotę za planowane do zakupu szkło specjalistycznego wraz z wyposażeniem. Wartość została oszacowana na podstawie ofert od dwóch firm: Danlab - łączny koszt 14 300,00 zł netto Alchem - łączny koszt 17 700 zł netto Przyjęto średni koszt na poziomie 16 000 złotych netto.																		
TRUE	1	Demineralizator wody	27 060,00 zł	22 000,00 zł	0	17 600,00 zł	Umożliwia realizację etapu 1. Służy do usuwania soli mineralnych i innych zanieczyszczeń z wody . W przypadku badań elektrochemicznych, czysta woda o wysokiej jakości jest kluczowa dla uzyskania wiarygodnych i powtarzalnych wyników. Zanieczyszczenia w wodzie, takie jak sole mineralne, mogą wpłynąć na procesy elektrodowe, wprowadzając zakłócenia w wynikach pomiarów.	Zaplanowano wynajem demineralizatora wody służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne. Jako koszt kwalifikowalny podano łączną kwotę planowaną do wynajmu demineralizatora wody. Wartość została oszacowana na podstawie ofert od dwóch firm: Danlab - łączny koszt 24 200,00 zł netto Alchem - łączny koszt 19 800 zł netto. Przyjęto średni koszt 22 000 zł netto																		
TRUE	1	Zasilacz stabilizowany regulowany	38 130,00 zł	31 000,00 zł	0	24 800,00 zł	Umożliwia realizację etapu 1. Zapewnia dokładne sterowanie napięciem lub prądem. Jest to szczególnie istotne przy badaniach i eksperymentach, gdzie nawet minimalne zmiany parametrów zasilania mogą wpłynąć na wyniki i ich wiarygodność. Dodatkowo, zasilacz stabilizowany regulowany posiada wiele zalet, takich jak możliwość regulacji napięcia lub prądu, zabezpieczenia przed przepięciami i przegrzaniem oraz stabilizację napięcia niezależnie od zmian obciążenia.	Zaplanowano wynajem zasilacza stabilizowanego regulowanego służącego wyłącznie celom bad. w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających rządzenia laboratoryjne. Jako koszt kw. podano łączną kwotę planowaną do wynajmu zasilacza stabilizowanego regulowanego. Wartość została oszacowana na podstawie ofert od dwóch firm: nLab sp. z o.o.-łączny koszt 27 000 zł netto LAMBDA SYSTEM Kreft Barszczewski Sp. J. łączny koszt 35 000 zł netto. Przyjęto średni koszt 31 000 zł																		
TRUE	1	Zestaw komputerowy specjalistyczny (laptop, monitor, klawiatura, mysz)	92 250,00 zł	75 000,00 zł	0	60 000,00 zł	Umożliwia realizację etapu 1. Zaawansowane programy wymagają dużych zasobów sprzętowych, takich jak szybki procesor, duża ilość pamięci RAM oraz karta graficzna. Dodatkowo, wykorzystywanie takiego oprogramowania wymaga często jednoczesnego wyświetlania wielu okien oraz manipulowania danymi na różnych ekranach, co wymaga zastosowania co najmniej dwóch monitorów.	Zaplanowano wynajem zestawów komp. spec. służących wyłącznie celom bad. w ramach projektu. Jako koszt kw. podano łączną sumę zestawów (8 sztuk). Koszty oszacowano w oparciu o oferty firm posiadających produkty elektroniczne. Koszt jednostkowy zestawu to 9 375 PLN. Wartość została oszacowana na podstawie cenników firm: X-kom - cena 70 000 zł netto, Morele - cena 80 000 zł netto, Przyjęto średni koszt na poziomie 75 000 złotych netto.																		
TRUE	1	Zestaw mebli biurowych (biutko, fotel,szfka)	18 204,00 zł	14 800,00 zł	0	11 840,00 zł	Umożliwia realizację etapu 1. Zakup zestawu mebli biurowych jest uzasadniony ze względu na potrzebę zapewnienia ergonomicznego i wygodnego miejsca pracy dla pracowników. Biurko, fotel i szafka stanowią podstawowe elementy wyposażenia biura, które pozwalają na wygodne wykonywanie zadań oraz organizowanie dokumentów i materiałów biurowych.	Zaplanowano zakup zestawów mebli biurowych służących wyłącznie celom bad. w ramach projektu. Jako koszt kwalifikowalny podano łączną sumę zestawów (10 sztuk). Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie wyposażenie biura. Koszt jednostkowy zestawu to 3 700 PLN. Wartość została oszacowana na podstawie ofert od dwóch firm: Elzap - łączny koszt w kwocie 39 000,00 zł netto, MDD - łączny koszt w kwocie 35 000 ,00 zł netto. Przyjęto średni koszt 37 000zl netto																		
TRUE	1	Stanowisko pomiarowe do elektrod	214 020,00 zł	174 000,00 zł	0	139 200,00 zł	Umożliwia realizację etapu 1. Stanowisko pomiarowe umożliwi monitorowanie, pomiar parametrów oraz digitalizację wyników takich jak napięcie, prąd, temperatura i pojemność, co jest niezbędne do analizy wydajności i zachowania elektrod baterii przepływowej. Na stanowisku będą możliwe długotrwałe oraz powtarzalne testy elektrod z założonym scenariuszem badań. Długotrwałe testy elektrod są niezbędne do określenia korozyjności oraz zmian po określonej liczbie cykli.	Zaplanowano wynajem stanowiska pomiarowego służącemu wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej urządzenia pomiarowe. Jako koszt kwalifikowalny podano łączną kwotę za wszystkie planowane do wynajmu stanowiska. Wartość została oszacowana na podstawie ofert od dwóch firm: Symatic Sp. z o. o. - łączny koszt 169 000 zł netto, Greenrobotics Sp. z o.o. - łączny koszt 179 000 zł netto. Przyjęto średni koszt 174 000 zł netto																		
TRUE	1	Waga analityczna mała	3 690,00 zł	3 000,00 zł	0	2 400,00 zł	Umożliwia realizację etapu 1. wysoka dokładność pomiaru. Waga analityczna małą zapewnia precyzyjny pomiar do 0,0001 g, co jest szczególnie ważne przy badaniach o wysokiej czułości, takich jak analiza składu chemicznego próbek czy ważenie substancji toksycznych.	Zaplanowano zakup wagi analitycznej małej służącej wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm: Danlab - łączny koszt w kwocie 4 100,00 zł netto Alchem - łączny koszt w kwocie 2 900 zł netto. Przyjęto średni koszt na poziomie 3 000 złotych netto.Jako koszt kwalifikowalny podano łączną kwotę planowaną do zakupu wagi analitycznej małej. Metodologia wyliczenia kosztu: 1 szt. x 3000 zł = 3000 zł																		
TRUE	1	Termometr	4 920,00 zł	4 000,00 zł	0	3 200,00 zł	Umożliwia realizację etapu 1. Umożliwia precyzyjny i dokładny pomiar temperatury w szerokim zakresie temperatur, co jest ważne dla badań nad bateriami przepływowymi. Temperatura jest jednym z kluczowych parametrów wpływających na wydajność baterii przepływowych	Zaplanowano zakup termometru służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne: Danlab - łączny koszt w kwocie 3 500,00 zł netto. Alchem - łączny koszt w kwocie 4 500 zł netto. Przyjęto średni koszt na poziomie 4 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do zakupu termometru. Metodologia wyliczenia kosztu: 1 szt. x 4000 zł netto = 4000 zł																		
TRUE	1	Konduktometr	8 610,00 zł	7 000,00 zł	0	5 600,00 zł	Umożliwia realizację etapu 1. Umożliwia pomiar przewodności elektrolitu w bateriach przepływowych, co jest kluczowe dla zrozumienia i optymalizacji procesów elektrochemicznych. Precyzyjny pomiar przewodności pozwala na identyfikację problemów w procesie elektrochemicznym i dostosowanie parametrów do uzyskania pożądanych wyników	Zaplanowano zakup konduktometru służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laborato- ryjne: Danlab - łączny koszt w kwocie 6 200,00 zł netto, Alchem - łączny koszt w kwocie 7 800 zł netto. Przyjęto średni koszt na poziomie 7 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do zakupu konduktometru. Metodologia wyliczenia kosztu: 1 szt. x 7000 zł netto																		
TRUE	1	Mieszadło magnetyczne z grzaniem	25 830,00 zł	21 000,00 zł	0	16 800,00 zł	Umożliwia realizację etapu 1. Umożliwia automatyczną kontrola temperatury i automatyczne mieszanie. Te funkcje pozwalają na utrzymywanie odpowiedniej temperatury reakcji i stałej intensywności mieszania.	Jako koszt kw. podano kwotę za 3 szt. mieszadeł. Koszty oszacowano w oparciu o oferty firm – posiadających urządzenia laboratoryjne: Danlab - łączny koszt za 3 szt. w kwocie 19 000,00 zł netto Alchem - łączny koszt za 3 szt. w kwocie 23 000 zł netto. Przyjęto średni koszt wynajmu za 3 szt. na poziomie 21 000 złotych netto. Koszt jednostkowy to 7 tys. Jako koszt kw. podano łączną kwotę za wszystkie planowane do wynajmu mieszadła Metodologia wyliczenia kosztu: 3 szt. x 7000 zł netto = 21 000 zł.																		
TRUE	1	Zestaw elementów laboratoryjnych	4 920,00 zł	4 000,00 zł	0	3 200,00 zł	Umożliwia realizację etapu 1. Na zestaw składa się: Statywy laboratoryjny F, Łapa 4 palczasta Stal SS, Łączniki uniwersalne, obrotowe Al. Wszystkie te narzędzia są podstawowym wyposażeniem laboratorium chemicznego i są kluczowe w badaniach elektrod i elektrolitów.	Zaplanowano zakup zestawu elementów laboratoryjnych służących wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie Alchem - łączny koszt w kwocie 4 400 zł netto. Przyjęto średni koszt na poziomie 4 000 złotych netto. Jako koszt kw. podano łączną kwotę planowaną do zakupu zestawu elementów laboratoryjnych. Metodologia wyliczenia kosztu: 1 komplet x 4000 zł netto = 4 000 zł.																		
TRUE	1	Pipeta automatyczna	23 370,00 zł	19 000,00 zł	0	15 200,00 zł	Umożliwia realizację etapu 1. Pozwala na łatwe i szybkie dozowanie elektrolitów i innych roztworów chemicznych. Konieczny jest zakup 2 szt. pipet automatycznych.	Zaplanowano zakup pipety automatycznej służącej wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie maszyny do urządzenia laboratoryjne: Danlab - łączny koszt 2 szt. w kwocie 20 100,00 zł netto Alchem - łączny koszt 2 szt. w kwocie 17 900 zł netto. Przyjęto średni koszt 2 szt. na poziomie 19 000 złotych netto. Koszt jednostkowy pipety to 9500 PLN. Metodologia wyliczenia kosztu: 2 szt. x 9500 zł netto = 19 000 zł																		
TRUE	1	Multimetr	2 460,00 zł	2 000,00 zł	0	1 600,00 zł	Umożliwia realizację etapu 1. Umożliwia on pomiar wielu parametrów elektrycznych, takich jak napięcie, prąd, opór, pojemność, impedancja i częstotliwość, co jest niezbędne do zrozumienia charakterystyk elektrochemicznych baterii. Multimetry pozwalają także na dokładny pomiar temperatury, co jest istotne w badaniach nad reakcjami elektrochemicznymi.	Zaplanowano zakup multimetru służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne: Conrad - cena 1 700 złotych netto, GOTRONIK PPHU - cena 2 300 złotych netto. Przyjęto średni koszt na poziomie 2 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do zakupu multimetru. Metodologia wyliczenia kosztu: 1 szt. x 2000 zł netto = 2 000 zł.																		
TRUE	1	Odczynniki chemiczne do badań	507 990,00 zł	413 000,00 zł	0	330 400,00 zł	Umożliwia realizację zadania 1. Na koszt odczynników chemicznych do badań składa się między innymi: 0,3 kg Rutenu (III) chlorku hydratu, 1,5 kg Tert-butanolanu tytanu (IV), 300 l 2-Propanolu (izopropanolu), 75 kg aktywnego węgla w proszku, 75 kg Sodu węglanu, 30 kg amonu diwodorofosforanu, 75 kg dwutleneku tytanu, 30 kg Poli(alkoholu winylowyego), zhydrolizowanego 98,0%-98,8%, 150 kg Cynku chlorku, 150 l 1-Metylo-2-pirolidynonu, 30 kg Karboksymetylocelulozowej soli sodowej i inne.	Zaplanowano zakup odczynników chemicznych do badań służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających odczynniki chemiczne: POL-AURA - łączny koszt w kwocie 427 000,00 zł netto CHMES - łączny koszt w kwocie 399 000 zł netto. Przyjęto średni koszt na poziomie 413 000 zł netto. Jako koszt kwalifikowalny podano łączną sumę wszystkich odczynników. Metodologia wyliczenia kosztu: 1 komplet x413 000zł netto= 413 000zł netto																		
